"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Create a new book","","2","0","6","0","0"
"","Update a Book","","1","2","6","0","0"
"","Delete a book","","0","0","4","0","0"
"","Retrieve Books","","0","0","3","0","0"
"","Add to Cart Functionality for Out of Stock Products","","1","0","0","0","0"
"","Add Products to Wishlist","","0","1","0","0","0"
"","Add to Cart Functionality","","0","0","1","0","0"
"","Initiate a product return","","0","0","1","0","0"
"","Interact with the Blog functionality","","0","1","0","0","0"
"","User Registration","","0","0","1","0","0"
